date,AMZN_actual,MSFT_actual,AMZN_actual_quantile,MSFT_actual_quantile
1970-08-14T00:00:00Z,0.0037155836048388124,0.006328219465537188,0.54286,0.62028
1970-08-15T00:00:00Z,-0.005668910854975451,-0.009602491014232939,0.31238,0.1948
1970-08-16T00:00:00Z,-3.2592554518551253e-4,-0.0013317386034819023,0.4661,0.45385
1970-08-17T00:00:00Z,0.006328445270126437,0.017690392144097622,0.63683,0.75332
1970-08-18T00:00:00Z,0.021263255677185455,4.673041449088089e-5,0.94704,0.54151
1970-08-19T00:00:00Z,0.0032192378290218926,0.006338874772359837,0.53427,0.575
1970-08-20T00:00:00Z,-0.008580413537677245,-0.005404108152602838,0.19656,0.30521
1970-08-21T00:00:00Z,0.016293115745643405,0.009947092941674285,0.84549,0.75939
1970-08-22T00:00:00Z,-0.0051528923282884165,-0.0038927339397494265,0.26328,0.31987
1970-08-23T00:00:00Z,-0.00525802946423326,-0.00526055075946541,0.3525,0.2731
1970-08-24T00:00:00Z,-0.00760713155888304,5.599440105248377e-4,0.20519,0.35112
1970-08-25T00:00:00Z,-0.0014492590063337474,-3.266441227225414e-4,0.36194,0.48551
1970-08-26T00:00:00Z,0.006089728645457981,0.00799447459276692,0.73674,0.61645
1970-08-27T00:00:00Z,-0.023272627029026438,-0.019682232430131563,0.03096,0.00706
1970-08-28T00:00:00Z,-8.733794946333973e-4,-0.006061767845464416,0.45494,0.15392
1970-08-29T00:00:00Z,0.0048022441314099495,0.012931375658325805,0.58805,0.76808
1970-08-30T00:00:00Z,0.012927815565593193,0.0043980888635726245,0.70204,0.53586
1970-08-31T00:00:00Z,0.0025783088825104272,-3.268134396199329e-4,0.5993,0.41057
1970-09-01T00:00:00Z,0.023678563645221473,0.023766116865724385,0.89039,0.98853
1970-09-02T00:00:00Z,-0.0015068253072207938,6.382448402550978e-4,0.43928,0.42622
1970-09-03T00:00:00Z,-0.010696473565191766,-0.003789881531593764,0.08152,0.37684
